ID1575247333593,1,6254,3803,767524
ID1575247455532,1,6257,3800,776303
ID1575247570943,1,6239,3803,775389
ID1575247678886,1,6207,3793,773080
ID1575247791414,1,6246,3801,780238
ID1575247896798,1,6230,3802,773415
ID1575248008472,1,6257,3818,777944
ID1575248124389,1,6236,3805,775093
ID1575248237341,1,6253,3797,776433
ID1575248350684,1,6284,3807,777862
ID1575248464675,1,6199,3801,772382
ID1575248577065,1,6276,3815,778839
ID1575248688487,1,6541,3964,788580
ID1575248801634,1,6275,3805,774176
ID1575248919072,1,6259,3809,778170
ID1575249033379,1,6227,3797,777596
ID1575249143834,1,6245,3805,774702
ID1575249254442,1,6212,3791,774845
ID1575249372089,1,6219,3799,770385
ID1575249491203,1,6266,3808,781585
