ID1575249974721,1,6248,3798,777767
ID1575250088667,1,6267,3805,772282
ID1575250201321,2,6911,4174,442141
ID1575250272299,2,11290,5407,554718
ID1575250382414,3,10428,4933,470715
ID1575250477528,3,12028,4794,446673
ID1575250582543,4,12428,4979,410807
ID1575250691317,4,24852,8938,496063
ID1575250885816,5,18850,4894,475167
ID1575251035251,5,31474,6928,518532
ID1575251263087,6,10491,4491,346626
ID1575251356118,6,16801,4593,443840
ID1575251492514,8,16653,4385,396348
ID1575251627387,8,34107,5856,490729
ID1575251871324,9,14067,5229,343423
ID1575251994735,9,47072,5358,519545
